CNO,SEX,AGGT,DIV,DETAILED-SUBJECTS,center_id
S0208/0169,F,20,II,CIV:D;HIST:C;GEO:D;KISW:C;ENGL:B;PHY:C;CHEM:C;BIO:B;B-MATH:D,s0208
S0208/0170,F,18,II,CIV:C;HIST:C;GEO:B;KISW:C;ENGL:B;BIO:B;B-MATH:C,s0208
S0208/0171,F,22,III,CIV:C;HIST:D;GEO:C;KISW:C;ENGL:C;PHY:D;CHEM:C;BIO:C;B-MATH:D,s0208
S0208/0172,F,30,IV,CIV:F;HIST:F;GEO:F;KISW:C;ENGL:C;BIO:D;B-MATH:F,s0208
S0208/0173,F,20,III,CIV:B;HIST:D;GEO:C;KISW:C;ENGL:B;BIO:C;B-MATH:F;FOOD:C,s0208
S0208/0174,F,20,II,CIV:C;HIST:D;GEO:C;KISW:C;ENGL:D;PHY:D;CHEM:C;BIO:B;B-MATH:C;FOOD:C,s0208
S0208/0175,F,18,II,CIV:D;HIST:D;GEO:C;KISW:C;ENGL:C;PHY:C;CHEM:C;BIO:B;B-MATH:A,s0208
S0208/0176,F,22,III,CIV:C;HIST:C;GEO:D;KISW:D;ENGL:B;FREN:D;PHY:D;CHEM:D;BIO:B;B-MATH:F,s0208
S0208/0177,F,34,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:D;BIO:F;B-MATH:F,s0208
S0208/0178,F,14,I,CIV:B;HIST:D;GEO:B;KISW:C;ENGL:C;PHY:B;CHEM:A;BIO:B;B-MATH:B,s0208
S0208/0179,F,30,IV,CIV:F;HIST:F;GEO:F;KISW:C;ENGL:D;BIO:D;B-MATH:D,s0208
S0208/0180,F,30,IV,CIV:D;HIST:F;GEO:F;KISW:C;ENGL:D;BIO:D;B-MATH:F,s0208
S0208/0181,F,26,IV,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:D;PHY:F;CHEM:D;BIO:C;B-MATH:F,s0208
S0208/0182,F,18,II,CIV:B;HIST:C;GEO:D;E-D-KIISLAMU:F;KISW:C;ENGL:C;PHY:C;CHEM:B;BIO:B;B-MATH:D,s0208
S0208/0183,F,27,IV,CIV:C;HIST:F;GEO:D;E-D-KIISLAMU:F;KISW:C;ENGL:D;BIO:D;B-MATH:D,s0208
S0208/0184,F,25,III,CIV:D;HIST:D;GEO:C;KISW:C;ENGL:D;BIO:C;B-MATH:D,s0208
S0208/0185,F,17,I,CIV:C;HIST:C;GEO:B;KISW:C;ENGL:D;PHY:C;CHEM:B;BIO:B;B-MATH:B,s0208
S0208/0186,F,21,II,CIV:C;HIST:D;GEO:B;KISW:C;ENGL:D;PHY:D;CHEM:C;BIO:B;B-MATH:D,s0208
S0208/0187,F,28,IV,CIV:D;HIST:D;GEO:D;E-D-KIISLAMU:D;KISW:X;ENGL:D;BIO:D;B-MATH:D,s0208
S0208/0188,F,26,IV,CIV:D;HIST:C;GEO:C;E-D-KIISLAMU:F;KISW:D;ENGL:D;BIO:C;B-MATH:F,s0208
S0208/0189,F,20,II,CIV:D;HIST:D;GEO:C;KISW:D;ENGL:C;PHY:D;CHEM:B;BIO:B;B-MATH:C;FOOD:C,s0208
S0208/0190,F,16,I,CIV:C;HIST:B;GEO:B;KISW:C;ENGL:C;FREN:D;PHY:C;CHEM:B;BIO:B;B-MATH:B,s0208
S0208/0191,F,18,II,CIV:B;HIST:D;GEO:C;KISW:C;ENGL:B;FREN:D;PHY:C;CHEM:C;BIO:B;B-MATH:D,s0208
S0208/0192,F,24,III,CIV:C;HIST:D;GEO:C;KISW:C;ENGL:C;BIO:C;B-MATH:F,s0208
S0209/0001,F,34,FLD,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:F;BIO:F;B-MATH:F,s0209
S0209/0002,F,32,IV,CIV:F;HIST:D;GEO:F;KISW:D;ENGL:D;FREN:F;BIO:F;B-MATH:F,s0209
S0209/0003,F,34,FLD,CIV:F;HIST:D;GEO:F;KISW:F;ENGL:F;CHEM:F;BIO:F;B-MATH:F,s0209
S0209/0004,F,32,IV,CIV:F;HIST:D;GEO:F;KISW:F;ENGL:F;CHEM:F;BIO:F;B-MATH:F;FOOD:C,s0209
S0209/0005,F,34,FLD,CIV:F;HIST:D;GEO:F;KISW:F;ENGL:F;CHEM:F;BIO:F;B-MATH:F,s0209
S0209/0006,F,17,I,CIV:C;HIST:C;GEO:C;KISW:A;ENGL:C;PHY:B;CHEM:B;BIO:C;B-MATH:C,s0209
S0209/0007,F,22,III,CIV:D;HIST:C;GEO:D;KISW:B;ENGL:C;PHY:D;CHEM:C;BIO:C;B-MATH:D,s0209
S0209/0008,F,22,III,CIV:C;HIST:D;GEO:D;KISW:B;ENGL:C;LIT;ENG:D;CHEM:C;BIO:C;B-MATH:F,s0209
S0209/0009,F,24,III,CIV:D;HIST:C;GEO:D;KISW:B;ENGL:C;CHEM:D;BIO:D;B-MATH:F,s0209
S0209/0010,F,21,III,CIV:C;HIST:C;GEO:D;KISW:C;ENGL:C;LIT;ENG:C;CHEM:C;BIO:C;B-MATH:F,s0209
S0209/0011,F,20,III,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:C;CHEM:B;BIO:B;B-MATH:F;FOOD:B,s0209
S0209/0012,F,34,FLD,CIV:F;HIST:F;GEO:D;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0209
S0209/0013,F,20,II,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:C;CHEM:B;BIO:C;B-MATH:D,s0209
S0209/0014,F,29,IV,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:D;BIO:F;B-MATH:F,s0209
S0209/0015,F,29,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:D;BIO:D;B-MATH:F,s0209
S0209/0016,F,24,III,CIV:D;HIST:D;GEO:C;KISW:D;ENGL:D;CHEM:C;BIO:C;B-MATH:C,s0209
S0209/0017,F,29,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:D;FREN:F;CHEM:F;BIO:D;B-MATH:F,s0209
S0209/0018,F,25,III,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:C;CHEM:C;BIO:C;B-MATH:F,s0209
S0209/0019,F,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0209
S0209/0020,F,27,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:C;FREN:D;BIO:D;B-MATH:F,s0209
S0209/0021,F,26,IV,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:D;PHY:D;CHEM:C;BIO:D;B-MATH:F,s0209
S0209/0022,F,29,IV,CIV:F;HIST:D;GEO:F;KISW:D;ENGL:D;CHEM:D;BIO:F;B-MATH:F;FOOD:C,s0209
S0209/0023,F,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0209
S0209/0024,F,23,III,CIV:C;HIST:D;GEO:D;KISW:C;ENGL:B;LIT;ENG:D;BIO:C;B-MATH:F,s0209
S0209/0025,F,23,III,CIV:C;HIST:C;GEO:D;KISW:C;ENGL:C;FREN:D;CHEM:D;BIO:C;B-MATH:D,s0209
S0209/0026,F,26,IV,CIV:C;HIST:F;GEO:D;KISW:B;ENGL:C;BIO:D;B-MATH:F,s0209
S0209/0027,F,19,II,CIV:C;HIST:D;GEO:C;KISW:B;ENGL:C;PHY:C;CHEM:B;BIO:C;B-MATH:D,s0209
S0209/0028,F,33,IV,CIV:D;HIST:F;GEO:F;KISW:D;ENGL:F;CHEM:F;BIO:F;B-MATH:F,s0209
S0209/0029,F,27,IV,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:D;CHEM:D;BIO:D;B-MATH:D,s0209
S0209/0030,F,26,IV,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:C;FREN:F;CHEM:D;BIO:D;B-MATH:F,s0209
S0209/0031,F,32,IV,CIV:F;HIST:C;GEO:F;KISW:F;ENGL:F;BIO:D;B-MATH:F,s0209
S0209/0032,F,23,III,CIV:C;HIST:C;GEO:D;KISW:B;ENGL:C;BIO:C;B-MATH:F,s0209
S0209/0033,F,30,IV,CIV:F;HIST:F;GEO:F;KISW:C;ENGL:D;LIT;ENG:C;BIO:F,s0209
S0209/0034,F,33,IV,CIV:F;HIST:D;GEO:F;KISW:F;ENGL:F;CHEM:F;BIO:D;B-MATH:F,s0209
S0209/0035,F,19,II,CIV:C;HIST:D;GEO:C;KISW:B;ENGL:C;FREN:D;CHEM:C;BIO:C;B-MATH:B,s0209
S0209/0036,F,21,II,CIV:C;HIST:D;GEO:C;KISW:B;ENGL:C;PHY:C;CHEM:C;BIO:D;B-MATH:D,s0209
S0209/0037,F,26,IV,CIV:C;HIST:D;GEO:D;KISW:D;ENGL:F;CHEM:C;BIO:D;B-MATH:D,s0209
S0209/0038,F,31,IV,CIV:F;HIST:D;GEO:F;KISW:D;ENGL:D;FREN:F;BIO:D;B-MATH:F,s0209
S0209/0039,F,15,I,CIV:D;HIST:C;GEO:C;KISW:B;ENGL:C;PHY:B;CHEM:B;BIO:B;B-MATH:A,s0209
S0209/0040,F,28,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:D;CHEM:D;BIO:D;B-MATH:F,s0209
S0209/0041,F,25,III,CIV:C;HIST:D;GEO:D;KISW:C;ENGL:C;FREN:F;CHEM:D;BIO:D;B-MATH:F,s0209
S0209/0042,F,21,III,CIV:C;HIST:D;GEO:D;KISW:B;ENGL:C;CHEM:C;BIO:B;B-MATH:F,s0209
S0209/0043,F,32,IV,CIV:F;HIST:D;GEO:D;KISW:D;ENGL:F;BIO:F;B-MATH:F,s0209
S0209/0044,F,29,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:D;FREN:F;BIO:D;B-MATH:F,s0209
S0209/0045,F,14,I,CIV:D;HIST:C;GEO:B;KISW:B;ENGL:B;PHY:B;CHEM:B;BIO:B;B-MATH:B,s0209
S0209/0046,F,27,IV,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:D;FREN:D;CHEM:F;BIO:D;B-MATH:D,s0209
S0209/0047,F,26,IV,CIV:D;HIST:C;GEO:D;KISW:C;ENGL:D;BIO:C;B-MATH:F,s0209
S0209/0048,F,33,IV,CIV:F;HIST:D;GEO:F;KISW:D;ENGL:F;CHEM:F;BIO:F;B-MATH:F,s0209
S0209/0049,F,30,IV,CIV:F;HIST:C;GEO:F;F.ART:D;KISW:D;ENGL:F;CHEM:D;BIO:F;B-MATH:F,s0209
S0209/0050,F,19,II,CIV:D;HIST:C;GEO:C;KISW:C;ENGL:C;PHY:B;CHEM:B;BIO:C;B-MATH:D,s0209
S0209/0051,F,30,IV,CIV:D;HIST:C;GEO:D;KISW:D;ENGL:F;BIO:F;B-MATH:F,s0209
S0209/0052,F,34,FLD,CIV:F;HIST:D;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0209
S0209/0053,F,31,IV,CIV:F;HIST:D;GEO:F;KISW:D;ENGL:D;LIT;ENG:D;BIO:F;B-MATH:F,s0209
S0209/0054,F,28,IV,CIV:D;HIST:F;GEO:D;KISW:B;ENGL:D;CHEM:F;BIO:D;B-MATH:F,s0209
S0209/0055,F,29,IV,CIV:F;HIST:F;GEO:D;KISW:C;ENGL:D;FREN:F;CHEM:D;BIO:D;B-MATH:F,s0209
S0209/0056,F,30,IV,CIV:D;HIST:F;GEO:D;KISW:C;ENGL:F;CHEM:F;BIO:D;B-MATH:F,s0209
S0209/0057,F,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0209
S0209/0058,F,34,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;CHEM:D;BIO:F;B-MATH:F,s0209
S0209/0059,F,27,IV,CIV:D;HIST:D;GEO:F;KISW:D;ENGL:C;CHEM:D;BIO:C;B-MATH:F,s0209
S0209/0060,F,29,IV,CIV:D;HIST:F;GEO:D;E-D-KIISLAMU:F;KISW:D;ENGL:D;CHEM:D;BIO:D;B-MATH:F,s0209
S0209/0061,F,30,IV,CIV:F;HIST:D;GEO:F;KISW:D;ENGL:C;LIT;ENG:D;BIO:F;B-MATH:F,s0209
S0209/0062,F,31,IV,CIV:D;HIST:F;GEO:F;KISW:D;ENGL:D;BIO:D;B-MATH:F,s0209
S0209/0063,F,27,IV,CIV:D;HIST:D;GEO:F;KISW:C;ENGL:C;LIT;ENG:D;CHEM:F;BIO:D;B-MATH:F,s0209
S0209/0064,F,33,IV,CIV:F;HIST:D;GEO:F;KISW:D;ENGL:F;FREN:F;CHEM:F;BIO:F;B-MATH:F,s0209
S0209/0065,F,30,IV,CIV:D;HIST:F;GEO:D;KISW:F;ENGL:D;CHEM:D;BIO:D;B-MATH:F,s0209
S0209/0066,F,33,IV,CIV:F;HIST:F;GEO:F;KISW:C;ENGL:F;CHEM:F;BIO:F;B-MATH:F,s0209
S0209/0067,F,25,III,CIV:F;HIST:D;GEO:D;E-D-KIISLAMU:F;F.ART:D;KISW:C;ENGL:C;CHEM:D;BIO:C;B-MATH:D,s0209
S0209/0068,F,33,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:D;CHEM:F;BIO:F;B-MATH:F,s0209
S0209/0069,F,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0209
S0209/0070,F,18,II,CIV:C;HIST:C;GEO:C;KISW:B;ENGL:C;PHY:C;CHEM:B;BIO:B;B-MATH:D,s0209
S0209/0071,F,21,III,CIV:D;HIST:B;GEO:D;KISW:C;ENGL:B;LIT;ENG:C;BIO:C;B-MATH:F,s0209
S0209/0072,F,24,III,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:D;PHY:C;CHEM:C;BIO:C;B-MATH:F,s0209
S0209/0073,F,30,IV,CIV:D;HIST:F;GEO:F;KISW:D;ENGL:F;CHEM:F;BIO:D;B-MATH:F;FOOD:C,s0209
S0209/0074,F,26,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:C;CHEM:D;BIO:C;B-MATH:F,s0209
S0209/0075,F,26,IV,CIV:C;HIST:D;GEO:D;KISW:C;ENGL:D;CHEM:F;BIO:C;B-MATH:F,s0209
S0209/0076,F,26,IV,CIV:D;HIST:C;GEO:D;KISW:D;ENGL:D;FREN:F;CHEM:D;BIO:C;B-MATH:F,s0209
S0209/0077,F,27,IV,CIV:D;HIST:F;GEO:F;KISW:C;ENGL:C;LIT;ENG:C;BIO:D,s0209
S0209/0078,F,20,II,CIV:D;HIST:C;GEO:C;KISW:D;ENGL:B;CHEM:C;BIO:C;B-MATH:D;FOOD:B,s0209
S0209/0079,F,29,IV,CIV:F;HIST:D;GEO:D;KISW:D;ENGL:D;BIO:C;B-MATH:F,s0209
S0209/0080,F,17,I,CIV:B;HIST:C;GEO:C;KISW:B;ENGL:B;FREN:C;CHEM:C;BIO:B;B-MATH:D,s0209
S0209/0081,F,29,IV,CIV:F;HIST:D;GEO:D;KISW:D;ENGL:C;CHEM:F;BIO:D;B-MATH:F,s0209
S0209/0082,F,24,III,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:C;PHY:F;CHEM:D;BIO:B;B-MATH:F,s0209
S0209/0083,F,18,II,CIV:C;HIST:C;GEO:C;KISW:B;ENGL:C;FREN:C;CHEM:B;BIO:B;B-MATH:C,s0209
S0209/0084,F,31,IV,CIV:F;HIST:F;GEO:D;F.ART:F;KISW:D;ENGL:F;CHEM:D;BIO:D;B-MATH:F,s0209
S0209/0085,F,29,IV,CIV:F;HIST:F;GEO:D;KISW:C;ENGL:D;FREN:F;CHEM:D;BIO:D;B-MATH:F,s0209
S0209/0086,F,32,IV,CIV:F;HIST:D;GEO:F;KISW:D;ENGL:F;CHEM:F;BIO:D;B-MATH:F,s0209
S0209/0087,F,23,III,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:A;FREN:D;BIO:C;B-MATH:F,s0209
S0209/0088,F,33,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:F;FREN:F;CHEM:F;BIO:D;B-MATH:F,s0209
S0209/0089,F,21,III,CIV:D;HIST:D;GEO:C;KISW:C;ENGL:C;CHEM:C;BIO:C;B-MATH:F;FOOD:B,s0209
S0209/0090,F,25,III,CIV:D;HIST:F;GEO:C;KISW:C;ENGL:D;CHEM:D;BIO:C;B-MATH:D;TEXTILE:F,s0209
S0209/0091,F,25,III,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:D;LIT;ENG:C;CHEM:F;BIO:C;B-MATH:F,s0209
S0209/0092,F,22,III,CIV:C;HIST:D;GEO:D;KISW:B;ENGL:B;PHY:D;BIO:C;B-MATH:F,s0209
S0209/0093,F,33,IV,CIV:F;HIST:D;GEO:F;KISW:F;ENGL:F;BIO:D;B-MATH:F,s0209
S0209/0094,F,25,III,CIV:C;HIST:D;GEO:D;KISW:C;ENGL:D;CHEM:D;BIO:C;B-MATH:F,s0209
S0209/0095,F,27,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:D;CHEM:F;BIO:C;B-MATH:D,s0209
S0209/0096,F,27,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:C;CHEM:D;BIO:D;B-MATH:D,s0209
S0209/0097,F,17,I,CIV:C;HIST:C;GEO:B;KISW:B;ENGL:C;FREN:C;CHEM:B;BIO:B;B-MATH:D,s0209
S0209/0098,F,20,II,CIV:D;HIST:D;GEO:C;KISW:B;ENGL:C;FREN:C;CHEM:C;BIO:B;B-MATH:D,s0209
S0209/0099,F,21,II,CIV:D;HIST:C;GEO:D;KISW:B;ENGL:D;CHEM:D;BIO:B;B-MATH:D;FOOD:B,s0209
S0209/0100,F,25,III,CIV:C;HIST:F;GEO:F;KISW:B;ENGL:C;LIT;ENG:C;BIO:D,s0209
S0209/0101,F,22,III,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:D;FREN:D;CHEM:C;BIO:C;B-MATH:F,s0209
S0209/0102,F,23,III,CIV:D;HIST:F;GEO:C;KISW:B;ENGL:C;FREN:D;BIO:C;B-MATH:D,s0209
S0209/0103,F,17,I,CIV:B;HIST:C;GEO:C;KISW:B;ENGL:B;CHEM:C;BIO:C;B-MATH:D;FOOD:B,s0209
S0209/0104,F,25,III,CIV:D;HIST:D;GEO:C;KISW:D;ENGL:D;CHEM:C;BIO:C;B-MATH:D,s0209
S0209/0105,F,32,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:F;CHEM:F;BIO:C;B-MATH:F,s0209
S0209/0106,F,32,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:F;PHY:F;CHEM:D;BIO:D;B-MATH:F,s0209
S0209/0107,F,27,IV,CIV:D;HIST:D;GEO:F;KISW:C;ENGL:D;CHEM:D;BIO:C;B-MATH:F,s0209
S0209/0108,F,25,III,CIV:D;HIST:F;GEO:F;KISW:C;ENGL:C;CHEM:D;BIO:C;B-MATH:F;FOOD:C,s0209
S0209/0109,F,24,III,CIV:D;HIST:C;GEO:D;KISW:C;ENGL:F;FREN:C;CHEM:D;BIO:C;B-MATH:F,s0209
S0209/0110,F,33,IV,CIV:F;HIST:F;GEO:F;KISW:C;ENGL:F;BIO:F;B-MATH:F,s0209
S0209/0111,F,33,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:F;CHEM:F;BIO:D;B-MATH:F,s0209
S0209/0112,F,28,IV,CIV:D;HIST:D;GEO:F;KISW:D;ENGL:D;LIT;ENG:D;BIO:C;B-MATH:F,s0209
S0209/0113,F,15,I,CIV:C;HIST:D;GEO:C;KISW:B;ENGL:B;CHEM:B;BIO:A;B-MATH:C;FOOD:B,s0209
S0209/0114,F,20,II,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:C;CHEM:B;BIO:C;B-MATH:D,s0209
S0209/0115,F,29,IV,CIV:F;HIST:D;GEO:D;KISW:C;ENGL:F;CHEM:D;BIO:D;B-MATH:F,s0209
S0209/0116,F,29,IV,CIV:D;HIST:F;GEO:D;KISW:C;ENGL:F;CHEM:D;BIO:D;B-MATH:F,s0209
S0209/0117,F,14,I,CIV:B;HIST:C;GEO:C;KISW:B;ENGL:B;PHY:B;CHEM:B;BIO:A;B-MATH:C,s0209
S0209/0118,F,29,IV,CIV:F;HIST:D;GEO:F;KISW:C;ENGL:D;CHEM:D;BIO:D;B-MATH:F,s0209
S0209/0119,F,17,I,CIV:D;HIST:C;GEO:C;KISW:B;ENGL:C;CHEM:C;BIO:A;B-MATH:D;FOOD:B,s0209
S0209/0120,F,31,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:D;LIT;ENG:D;CHEM:F;BIO:D;B-MATH:F,s0209
S0209/0121,F,20,II,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:B;CHEM:C;BIO:C;B-MATH:D,s0209
S0209/0122,F,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0209
S0209/0123,F,18,II,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:B;PHY:C;CHEM:B;BIO:B;B-MATH:D,s0209
S0209/0124,F,34,FLD,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:F;BIO:F;B-MATH:F,s0209
S0209/0125,F,30,IV,CIV:F;HIST:D;GEO:D;KISW:C;ENGL:F;BIO:D;B-MATH:F;TEXTILE:F,s0209
S0209/0126,F,33,IV,CIV:F;HIST:F;GEO:F;E-D-KIISLAMU:F;KISW:D;ENGL:F;CHEM:F;BIO:D;B-MATH:F,s0209
S0209/0127,F,34,FLD,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:F;BIO:F;B-MATH:F,s0209
S0209/0128,F,33,IV,CIV:F;HIST:F;GEO:F;F.ART:D;KISW:D;ENGL:F;BIO:F;B-MATH:F,s0209
S0209/0129,F,27,IV,CIV:D;HIST:F;GEO:C;KISW:D;ENGL:D;FREN:D;BIO:C;B-MATH:F,s0209
S0209/0130,F,31,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:F;FREN:F;CHEM:D;BIO:C;B-MATH:F,s0209
S0209/0131,F,26,IV,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:C;LIT;ENG:D;BIO:D;B-MATH:F,s0209
S0209/0132,F,32,IV,CIV:F;HIST:F;GEO:D;KISW:D;ENGL:F;BIO:D;B-MATH:F,s0209
S0209/0133,F,15,I,CIV:C;HIST:B;GEO:C;KISW:B;ENGL:C;PHY:B;CHEM:A;BIO:B;B-MATH:C,s0209
S0209/0134,F,23,III,CIV:C;HIST:D;GEO:D;KISW:B;ENGL:D;FREN:F;CHEM:D;BIO:B;B-MATH:F,s0209
S0209/0135,F,20,II,CIV:C;HIST:D;GEO:D;KISW:B;ENGL:B;LIT;ENG:C;CHEM:C;BIO:C;B-MATH:D,s0209
S0209/0136,F,25,III,CIV:C;HIST:D;GEO:D;KISW:C;ENGL:C;FREN:D;BIO:D;B-MATH:F,s0209
S0209/0137,F,25,III,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:D;CHEM:D;BIO:C;B-MATH:F;FOOD:C,s0209
S0209/0138,F,31,IV,CIV:F;HIST:D;GEO:D;KISW:D;ENGL:F;BIO:D;B-MATH:F;TEXTILE:F,s0209
S0209/0139,F,19,II,CIV:C;HIST:D;GEO:C;KISW:B;ENGL:B;FREN:C;CHEM:C;BIO:C;B-MATH:D,s0209
S0209/0140,F,20,II,CIV:C;HIST:C;GEO:C;KISW:B;ENGL:C;FREN:C;CHEM:C;BIO:C;B-MATH:D,s0209
S0209/0141,F,20,II,CIV:C;HIST:C;GEO:C;KISW:B;ENGL:D;PHY:D;CHEM:B;BIO:C;B-MATH:D,s0209
S0209/0142,F,30,IV,CIV:F;HIST:D;GEO:F;KISW:C;ENGL:D;FREN:F;BIO:D;B-MATH:F,s0209
S0209/0143,F,28,IV,CIV:D;HIST:D;GEO:D;KISW:F;ENGL:D;FREN:D;CHEM:D;BIO:D;B-MATH:F,s0209
S0209/0144,F,28,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:D;CHEM:D;BIO:D;B-MATH:D,s0209
S0209/0145,F,29,IV,CIV:D;HIST:D;GEO:F;KISW:D;ENGL:D;CHEM:D;BIO:D;B-MATH:F,s0209
S0209/0146,F,29,IV,CIV:D;HIST:F;GEO:D;F.ART:D;KISW:C;ENGL:F;CHEM:F;BIO:D;B-MATH:F,s0209
S0209/0147,F,23,III,CIV:C;HIST:D;GEO:C;KISW:C;ENGL:D;CHEM:D;BIO:D;B-MATH:F;FOOD:B,s0209
S0209/0148,F,26,IV,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:D;FREN:F;CHEM:D;BIO:C;B-MATH:F,s0209
S0209/0149,F,25,III,CIV:D;HIST:D;GEO:F;KISW:C;ENGL:B;PHY:D;CHEM:D;BIO:D;B-MATH:F,s0209
S0209/0150,F,28,IV,CIV:D;HIST:F;GEO:D;E-D-KIISLAMU:F;KISW:C;ENGL:D;CHEM:D;BIO:D;B-MATH:F,s0209
S0209/0151,F,33,IV,CIV:F;HIST:D;GEO:F;KISW:F;ENGL:F;CHEM:F;BIO:D;B-MATH:F,s0209
S0209/0152,F,27,IV,CIV:F;HIST:D;GEO:D;KISW:C;ENGL:D;CHEM:D;BIO:C;B-MATH:F,s0209
S0209/0153,F,15,I,CIV:D;HIST:C;GEO:C;KISW:B;ENGL:B;PHY:B;CHEM:B;BIO:B;B-MATH:B,s0209
S0209/0154,F,22,III,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:C;FREN:F;CHEM:D;BIO:C;B-MATH:D,s0209
S0209/0155,F,31,IV,CIV:D;HIST:F;GEO:F;KISW:D;ENGL:D;BIO:D;B-MATH:F,s0209
S0209/0156,F,34,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:D;B-MATH:F,s0209
S0209/0157,F,18,II,CIV:C;HIST:C;GEO:C;KISW:B;ENGL:C;FREN:C;CHEM:B;BIO:B;B-MATH:D,s0209
S0209/0158,F,34,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;FREN:F;BIO:D;B-MATH:F,s0209
S0209/0159,F,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0209
S0209/0160,F,21,II,CIV:C;HIST:D;GEO:C;KISW:D;ENGL:D;PHY:C;CHEM:B;BIO:C;B-MATH:C,s0209
S0209/0161,F,25,III,CIV:D;HIST:D;GEO:C;KISW:C;ENGL:D;PHY:D;CHEM:D;BIO:C;B-MATH:D,s0209
S0209/0162,F,26,IV,CIV:D;HIST:C;GEO:D;KISW:D;ENGL:D;FREN:D;CHEM:D;BIO:C;B-MATH:D,s0209
S0209/0163,F,32,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:D;CHEM:F;BIO:D;B-MATH:F;TEXTILE:F,s0209
S0209/0164,F,27,IV,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:D;CHEM:D;BIO:D;B-MATH:F,s0209
S0209/0165,F,29,IV,CIV:F;HIST:D;GEO:D;KISW:F;ENGL:C;LIT;ENG:C;BIO:F,s0209
S0209/0166,F,22,III,CIV:C;HIST:C;GEO:D;E-D-KIISLAMU:D;KISW:C;ENGL:C;PHY:D;CHEM:C;BIO:C;B-MATH:D,s0209
S0209/0167,F,27,IV,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:D;CHEM:D;BIO:D;B-MATH:F,s0209
S0209/0168,F,32,IV,CIV:F;HIST:F;GEO:D;KISW:D;ENGL:F;FREN:F;CHEM:F;BIO:D;B-MATH:F,s0209
S0209/0169,F,20,II,CIV:C;HIST:D;GEO:C;KISW:C;ENGL:C;CHEM:C;BIO:B;B-MATH:D;FOOD:C,s0209
