CNO,SEX,AGGT,DIV,DETAILED-SUBJECTS,center_id
S0101/0045,M,-,-,CIV:D;HIST:D;GEO:D;E-D-KIISLAMU:D;KISW:D;ENGL:D;FREN:I;BIO:D;B-MATH:F,s0101
S0101/0046,M,24,III,CIV:D;HIST:C;GEO:D;KISW:D;ENGL:D;PHY:C;CHEM:D;BIO:C;B-MATH:C,s0101
S0101/0047,M,19,II,CIV:C;HIST:C;GEO:D;E-D-KIISLAMU:C;KISW:C;ENGL:C;PHY:C;CHEM:B;BIO:C;B-MATH:B,s0101
S0101/0048,M,22,III,CIV:F;HIST:D;GEO:D;KISW:C;ENGL:D;PHY:C;CHEM:B;BIO:D;B-MATH:B,s0101
S0101/0049,M,26,IV,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:C;BIO:D;B-MATH:D,s0101
S0101/0050,M,28,IV,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:F;BIO:D;B-MATH:D,s0101
S0101/0051,M,15,I,CIV:C;HIST:B;GEO:C;KISW:B;ENGL:C;PHY:B;CHEM:B;BIO:B;B-MATH:B,s0101
S0101/0052,M,35,FLD,CIV:F;HIST:F;GEO:F;E-D-KIISLAMU:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0053,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0054,M,34,FLD,CIV:D;HIST:F;GEO:F;KISW:F;ENGL:F;PHY:X;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0055,M,18,III,CIV:F;HIST:D;GEO:D;E-D-KIISLAMU:C;KISW:D;ENGL:C;PHY:A;CHEM:B;BIO:C;B-MATH:B,s0101
S0101/0056,M,21,II,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:C;PHY:C;CHEM:B;BIO:C;B-MATH:C,s0101
S0101/0057,M,26,IV,CIV:C;HIST:D;GEO:D;F.ART:D;KISW:C;ENGL:D;BIO:D;B-MATH:D,s0101
S0101/0058,M,*E,*E,,s0101
S0101/0059,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0060,M,28,IV,CIV:D;HIST:C;GEO:F;F.ART:D;KISW:C;ENGL:D;BIO:F;B-MATH:F,s0101
S0101/0061,M,19,II,CIV:D;HIST:C;GEO:D;KISW:B;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:B,s0101
S0101/0062,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0063,M,*E,*E,,s0101
S0101/0064,M,*E,*E,,s0101
S0101/0065,M,22,III,CIV:B;HIST:D;GEO:D;KISW:C;ENGL:B;PHY:D;CHEM:C;BIO:D;B-MATH:D,s0101
S0101/0066,M,12,I,CIV:B;HIST:C;GEO:B;KISW:B;ENGL:B;PHY:A;CHEM:A;BIO:B;B-MATH:B,s0101
S0101/0067,M,18,II,CIV:C;HIST:C;GEO:D;B-KNOWL:B;KISW:C;ENGL:B;PHY:D;CHEM:B;BIO:C;B-MATH:D,s0101
S0101/0068,M,21,II,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:C;PHY:C;CHEM:B;BIO:C;B-MATH:C,s0101
S0101/0069,M,19,II,CIV:C;HIST:D;GEO:D;KISW:B;ENGL:C;PHY:C;CHEM:B;BIO:C;B-MATH:C,s0101
S0101/0070,M,10,I,CIV:B;HIST:A;GEO:C;KISW:B;ENGL:B;PHY:A;CHEM:A;BIO:B;B-MATH:A,s0101
S0101/0071,M,*E,*E,,s0101
S0101/0072,M,12,I,CIV:B;HIST:C;GEO:D;KISW:B;ENGL:B;PHY:A;CHEM:A;BIO:B;B-MATH:B,s0101
S0101/0073,M,*E,*E,,s0101
S0101/0074,M,19,II,CIV:C;HIST:C;GEO:D;KISW:C;ENGL:C;PHY:C;CHEM:B;BIO:C;B-MATH:B,s0101
S0101/0075,M,16,I,CIV:C;HIST:D;GEO:D;KISW:B;ENGL:B;PHY:C;CHEM:B;BIO:C;B-MATH:A,s0101
S0101/0076,M,23,III,CIV:C;HIST:C;GEO:D;F.ART:C;KISW:C;ENGL:C;BIO:D;B-MATH:D,s0101
S0101/0077,M,31,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:D;PHY:F;CHEM:D;BIO:F;B-MATH:D,s0101
S0101/0078,M,22,III,CIV:C;HIST:D;GEO:D;KISW:C;ENGL:B;BIO:D;B-MATH:B,s0101
S0101/0079,M,14,I,CIV:B;HIST:C;GEO:B;KISW:C;ENGL:B;PHY:B;CHEM:B;BIO:B;B-MATH:B,s0101
S0101/0080,M,20,II,CIV:D;HIST:D;GEO:C;KISW:C;ENGL:B;PHY:B;CHEM:C;BIO:C;B-MATH:D,s0101
